,name,address,age,sex,date_of_birth
0,Terry Terry,"11818 Lori Crossing Apt. 802
Pughstad, DC 78165",63.0,M,1955-09-12
1,Edith Boudreaux,"PSC 4657, Box 5446
APO AP 58412",73.0,F,1945/04/30
2,Janet Washington,"Unit 9759 Box 9470
DPO AP 45549",74.0,F,1944-06-06
3,Margaret Chabot,"137 Lewis Flat Suite 762
West Elizabeth, AL 32973",49.0,F,1969-10-01
4,Colleen Satterwhite,"995 Frank Stravenue
South Matthewport, TX 81402",2.0,F,2016-01-08
5,Judy Smith,"1781 Meredith Skyway Suite 328
Cordovaburgh, CA 13637",44.0,F,1974-05-22
6,Stephen Lalk,"2415 Elizabeth Knoll Suite 030
Cordovafort, CO 02589",54.0,M,1964-01-28 00 00 00
7,Anna Swartz,"49824 Kim View
West Ericborough, VT 42457",71.0,F,1946-11-12
8,Patricia Kealy,"53231 Matthew Spur Apt. 079
North Brian, MA 30418",35.0,F,1983-02-12 00 00 00
9,Morgan Toole,"USNV Gallegos
FPO AA 99743",82.0,F,1936-09-25 00 00 00
10,Betty Kannel,"655 Karen Causeway
Benjaminberg, NY 46590",76.0,F,1942-06-26 00 00 00
11,Patricia Wasilewski,"9197 Juarez Lock
New Matthew, VA 12312",30.0,F,88-07-29
12,Lori Scott,"9892 Stephen Track Suite 831
Sharonstad, TN 16192",77.0,F,1941-04-23
13,Karen Boyles,"62673 Jeanette Track Apt. 852
Mckenzieberg, WY 57271",45.0,F,1973-09-12
14,Abraham Bruce,"85154 Young Mill
Aaronville, IA 31780",57.0,M,1961/05/10
15,James Wilson,"509 Antonio Haven Suite 117
West Ricky, OK 35203",84.0,M,1934-01-23
16,Roy Wilson,"024 Jordan Plains Suite 643
Andreamouth, WI 58957",48.0,M,1970-07-07
17,Carl Young,"31259 Porter Gateway Suite 886
East Sarahfort, MS 21557",16.0,M,2002-10-05
18,Elizabeth Davis,"USNV Robinson
FPO AA 16102",54.0,F,1964-07-09 00:00:00
19,Debra White,"6135 Keith Route Apt. 868
Abigailchester, OK 63422",60.0,F,1958-04-15
20,Ronald Speigel,"30989 Robert Stream Apt. 520
Jorgehaven, MS 99923",62.0,M,56-06-04
21,Michael Guzman,"6934 Victor Turnpike Apt. 644
Lake Paulamouth, NE 75992",40.0,M,1977-10-23
22,Kelly Webb,"83150 James Isle Suite 616
Lake Christinaton, SC 16583",37.0,F,1980-11-12
23,Sandra Cherry,"2397 Powell Skyway Apt. 944
New Brianport, PA 58357",73.0,F,1945-09-26
24,Terri Alexander,"58132 Emily Club Apt. 346
Emmaborough, LA 16007",32.0,F,1986-03-24
25,Anitra Kennerly,"4017 Marcus Brook
West Amber, NY 39009",74.0,F,1943-12-03
26,Amanda Grulkey,"6580 Gregory Fork Apt. 987
Port Joshuaport, NC 69576",80.0,F,1938-08-17
27,Melinda Deoliveira,"2503 Brown Island Apt. 531
Fosterton, NC 83127",58.0,F,59-11-19
28,Linda Stubblefield,"3266 Michael Walk Suite 579
Angelaside, AL 13883",38.0,F,1980-02-22
29,Julia Smith,"0845 Brown Keys
New Tiffany, AZ 18220",51.0,F,1967-04-04
30,Spencer Castano,"39232 Brewer Park Apt. 109
North Sara, ME 96926",62.0,M,1956-02-25
31,Hoyt Martinez,"318 Carpenter Mill
Josephfurt, CA 66815",68.0,M,50-05-13
32,Nell Lopez,"33135 Elizabeth Squares
Colleenmouth, MN 55019",73.0,F,06/09/1945
33,Ann Johnson,"PSC 0392, Box 5508
APO AE 57181",34.0,F,84-08-04
34,Roy Garcia,"778 Timothy Corners
Bryanfort, ME 91446",47.0,M,1970-11-10
35,Shannon Murray,"USCGC Steele
FPO AA 97314",59.0,?,1959-06-17
36,Albert Cipriano,"1487 Kirk Haven
Brennanborough, MD 66214",65.0,M,1953-05-02 00:00:00
37,Judy Sprengeler,"6833 Charles Neck
Port Justin, OK 71696",67.0,F,1951-10-15
38,Simone Houston,"38302 Bradshaw Rue
North Hannahshire, NC 34515",56.0,F,1962-09-26 00:00:00
39,Cathy Neal,"84279 Amy Islands
Spencertown, NH 55521",59.0,F,1959-01-03
40,David Nason,"33026 Janet Wells
North Ruthmouth, NM 05023",68.0,M,1950-05-05
41,Bruce Black,"990 Wesley Views Suite 718
Johnsonside, ID 33150",46.0,M,1972-02-29 00 00 00
42,John Short,"0164 Angela Rest Apt. 325
Traceybury, WI 81332",29.0,M,1989-02-26
43,Lynda Smith,"4306 Robert Shoals
Debraborough, NJ 93664",18.0,F,2000-01-04
44,Connie Herman,"4081 Montoya Points
Davidside, WA 68358",40.0,F,1978-08-27
45,Tara Brown,"6974 Parker Wall Apt. 272
Lake Micheal, NM 38317",39.0,F,1979-04-25
46,Samuel Ishak,"375 Jasmine Tunnel
Wilsonshire, AR 62810",63.0,M,1955-04-20
47,Anne Robinson,"225 Kristin Gardens Suite 760
Wallerport, KY 10853",64.0,F,1953-12-16
48,Jacqueline Debem,"9307 Jessica Isle Suite 811
Marytown, FL 82740",31.0,F,1987-03-16
49,Alma Steinle,"6648 Carrie Mount Apt. 337
Heatherville, NC 48445",52.0,F,1966-05-29
50,Barbara Jenkins,"99814 Caitlyn Dam Apt. 151
Juliemouth, FL 56091",82.0,F,1936-03-09 00:00:00
51,Lucy Booze,"77974 Hale Radial
West Kimberly, MI 51749",78.0,F,1940-05-12
52,Rosemarie Inabinet,"23047 Walters Tunnel
East Charlesland, AK 97484",79.0,F,1939-09-16
53,Dina Nielsen,"3904 Jeffrey Gardens Suite 105
Bowenmouth, WA 65145",76.0,F,1942-07-15 00 00 00
54,Roger Harrison,"9883 Ramirez River
Lake Michellefurt, NC 70438",65.0,M,1953/03/19
55,Clara Vogelgesang,"4019 Olsen Glens Suite 728
East Carrietown, NE 66710",31.0,F,1986-10-30
56,Katherine Crow,"66154 Clark Tunnel Apt. 821
Tanyaside, GA 17153",37.0,F,1980-12-21
57,Beatrice Herrera,"066 Troy Junctions
West Stephanie, RI 41274",87.0,F,05/12/1930
58,Pat Mills,"64443 Christina Crossroad Apt. 639
New Ryanville, CA 50678",40.0,F,1978-06-23 00:00:00
59,Lorna Nery,"274 Whitaker Mall
West Anthony, ND 03698",76.0,F,1942-07-06
60,Dean Grimes,"2551 Erik Forges Apt. 934
Danielview, OK 71635",56.0,M,61-11-02
